city,state,country,2020,2021,2022,2023,2024,2025,2026
Northlake,TX,US,,,22,22,22,22,49
Milton,VT,US,,,,,,,49
Vienna,VA,US,27,32,31,33,34,36,49
Eau Claire,WI,US,43,41,45,48,51,50,49
Menomonee Falls,WI,US,41,41,41,38,38,38,49
Platteville,WI,US,,,,,61,64,49
River Falls,WI,US,,,,46,46,46,49
Sheboygan,WI,US,,,48,58,58,58,49
Chinle,AZ,US,,,,,,,48
Calabasas,CA,US,,,,,,,48
Coronado,CA,US,,,,44,45,45,48
Menlo Park,CA,US,,,29,44,47,51,48
Palos Verdes Estates,CA,US,,,,,,,48
San Carlos,CA,US,,,,36,38,38,48
Santa Barbara,CA,US,38,36,45,46,48,49,48
Selma,CA,US,,,,,37,37,48
Valley Springs,CA,US,,23,18,18,18,19,48
Cherry Hills Village,CO,US,,,17,20,21,19,48
Washington,DC,US,38,39,46,44,46,52,48
Cape Canaveral,FL,US,,,,26,29,30,48
Miami Beach,FL,US,,,,47,47,48,48
Parkland,FL,US,,,,28,28,29,48
Peachtree City,GA,US,19,20,20,41,48,50,48
Cedar Falls,IA,US,,44,49,50,51,52,48
Boxford,MA,US,,,,,23,23,48
Townsend,MA,US,,,,,34,34,48
Wareham,MA,US,,,,,,,48
Wareham Center,MA,US,,,,,14,18,48
Cadillac,MI,US,,,,55,58,60,48
Yazoo City,MS,US,,,,,45,45,48
Poplar Bluff,MO,US,,,,,42,42,48
Missoula,MT,US,26,48,48,48,47,47,48
Eastampton Township,NJ,US,,,,,,,48
Union City,NJ,US,,,,,,38,48
